month,total.total,timeRange.start,timeRange.end
2001-01-15T00:00:00.000Z,5,2001-01-15T00:00:00.000Z,2001-01-16T00:00:00.000Z
2001-01-16T00:00:00.000Z,17,2001-01-16T00:00:00.000Z,2001-01-17T00:00:00.000Z
2001-01-17T00:00:00.000Z,36,2001-01-17T00:00:00.000Z,2001-01-18T00:00:00.000Z
2001-01-18T00:00:00.000Z,10,2001-01-18T00:00:00.000Z,2001-01-19T00:00:00.000Z
2001-01-19T00:00:00.000Z,22,2001-01-19T00:00:00.000Z,2001-01-20T00:00:00.000Z
2001-01-20T00:00:00.000Z,29,2001-01-20T00:00:00.000Z,2001-01-21T00:00:00.000Z
2001-01-21T00:00:00.000Z,54,2001-01-21T00:00:00.000Z,2001-01-22T00:00:00.000Z
2001-01-22T00:00:00.000Z,15,2001-01-22T00:00:00.000Z,2001-01-23T00:00:00.000Z
2001-01-23T00:00:00.000Z,31,2001-01-23T00:00:00.000Z,2001-01-24T00:00:00.000Z
2001-01-24T00:00:00.000Z,6,2001-01-24T00:00:00.000Z,2001-01-25T00:00:00.000Z
2001-01-25T00:00:00.000Z,17,2001-01-25T00:00:00.000Z,2001-01-26T00:00:00.000Z
2001-01-26T00:00:00.000Z,57,2001-01-26T00:00:00.000Z,2001-01-27T00:00:00.000Z
2001-01-27T00:00:00.000Z,41,2001-01-27T00:00:00.000Z,2001-01-28T00:00:00.000Z
2001-01-28T00:00:00.000Z,40,2001-01-28T00:00:00.000Z,2001-01-29T00:00:00.000Z
2001-01-29T00:00:00.000Z,55,2001-01-29T00:00:00.000Z,2001-01-30T00:00:00.000Z
2001-01-30T00:00:00.000Z,63,2001-01-30T00:00:00.000Z,2001-01-31T00:00:00.000Z
2001-01-31T00:00:00.000Z,26,2001-01-31T00:00:00.000Z,2001-02-01T00:00:00.000Z
2001-02-01T00:00:00.000Z,28,2001-02-01T00:00:00.000Z,2001-02-02T00:00:00.000Z
2001-02-02T00:00:00.000Z,79,2001-02-02T00:00:00.000Z,2001-02-03T00:00:00.000Z
2001-02-03T00:00:00.000Z,39,2001-02-03T00:00:00.000Z,2001-02-04T00:00:00.000Z
2001-02-04T00:00:00.000Z,23,2001-02-04T00:00:00.000Z,2001-02-05T00:00:00.000Z
2001-02-05T00:00:00.000Z,18,2001-02-05T00:00:00.000Z,2001-02-06T00:00:00.000Z
2001-02-06T00:00:00.000Z,60,2001-02-06T00:00:00.000Z,2001-02-07T00:00:00.000Z
2001-02-07T00:00:00.000Z,31,2001-02-07T00:00:00.000Z,2001-02-08T00:00:00.000Z
2001-02-08T00:00:00.000Z,22,2001-02-08T00:00:00.000Z,2001-02-09T00:00:00.000Z
2001-02-09T00:00:00.000Z,51,2001-02-09T00:00:00.000Z,2001-02-10T00:00:00.000Z
2001-02-10T00:00:00.000Z,19,2001-02-10T00:00:00.000Z,2001-02-11T00:00:00.000Z
2001-02-11T00:00:00.000Z,10,2001-02-11T00:00:00.000Z,2001-02-12T00:00:00.000Z
2001-02-12T00:00:00.000Z,37,2001-02-12T00:00:00.000Z,2001-02-13T00:00:00.000Z
2001-02-13T00:00:00.000Z,34,2001-02-13T00:00:00.000Z,2001-02-14T00:00:00.000Z
2001-02-14T00:00:00.000Z,42,2001-02-14T00:00:00.000Z,2001-02-15T00:00:00.000Z
2001-02-15T00:00:00.000Z,24,2001-02-15T00:00:00.000Z,2001-02-16T00:00:00.000Z
2001-02-16T00:00:00.000Z,17,2001-02-16T00:00:00.000Z,2001-02-17T00:00:00.000Z
2001-02-17T00:00:00.000Z,28,2001-02-17T00:00:00.000Z,2001-02-18T00:00:00.000Z
2001-02-18T00:00:00.000Z,19,2001-02-18T00:00:00.000Z,2001-02-19T00:00:00.000Z
2001-02-19T00:00:00.000Z,19,2001-02-19T00:00:00.000Z,2001-02-20T00:00:00.000Z
2001-02-20T00:00:00.000Z,38,2001-02-20T00:00:00.000Z,2001-02-21T00:00:00.000Z
2001-02-21T00:00:00.000Z,84,2001-02-21T00:00:00.000Z,2001-02-22T00:00:00.000Z
2001-02-22T00:00:00.000Z,59,2001-02-22T00:00:00.000Z,2001-02-23T00:00:00.000Z
2001-02-23T00:00:00.000Z,57,2001-02-23T00:00:00.000Z,2001-02-24T00:00:00.000Z
2001-02-24T00:00:00.000Z,12,2001-02-24T00:00:00.000Z,2001-02-25T00:00:00.000Z
2001-02-25T00:00:00.000Z,31,2001-02-25T00:00:00.000Z,2001-02-26T00:00:00.000Z
2001-02-26T00:00:00.000Z,13,2001-02-26T00:00:00.000Z,2001-02-27T00:00:00.000Z
2001-02-27T00:00:00.000Z,33,2001-02-27T00:00:00.000Z,2001-02-28T00:00:00.000Z
2001-02-28T00:00:00.000Z,15,2001-02-28T00:00:00.000Z,2001-03-01T00:00:00.000Z
2001-03-01T00:00:00.000Z,42,2001-03-01T00:00:00.000Z,2001-03-02T00:00:00.000Z
2001-03-02T00:00:00.000Z,25,2001-03-02T00:00:00.000Z,2001-03-03T00:00:00.000Z
2001-03-03T00:00:00.000Z,25,2001-03-03T00:00:00.000Z,2001-03-04T00:00:00.000Z
2001-03-04T00:00:00.000Z,29,2001-03-04T00:00:00.000Z,2001-03-05T00:00:00.000Z
2001-03-05T00:00:00.000Z,36,2001-03-05T00:00:00.000Z,2001-03-06T00:00:00.000Z
2001-03-06T00:00:00.000Z,128,2001-03-06T00:00:00.000Z,2001-03-07T00:00:00.000Z
2001-03-07T00:00:00.000Z,128,2001-03-07T00:00:00.000Z,2001-03-08T00:00:00.000Z
2001-03-08T00:00:00.000Z,81,2001-03-08T00:00:00.000Z,2001-03-09T00:00:00.000Z
2001-03-09T00:00:00.000Z,61,2001-03-09T00:00:00.000Z,2001-03-10T00:00:00.000Z
2001-03-10T00:00:00.000Z,26,2001-03-10T00:00:00.000Z,2001-03-11T00:00:00.000Z
2001-03-11T00:00:00.000Z,41,2001-03-11T00:00:00.000Z,2001-03-12T00:00:00.000Z
2001-03-12T00:00:00.000Z,56,2001-03-12T00:00:00.000Z,2001-03-13T00:00:00.000Z
2001-03-13T00:00:00.000Z,33,2001-03-13T00:00:00.000Z,2001-03-14T00:00:00.000Z
2001-03-14T00:00:00.000Z,33,2001-03-14T00:00:00.000Z,2001-03-15T00:00:00.000Z
2001-03-15T00:00:00.000Z,35,2001-03-15T00:00:00.000Z,2001-03-16T00:00:00.000Z
2001-03-16T00:00:00.000Z,47,2001-03-16T00:00:00.000Z,2001-03-17T00:00:00.000Z
2001-03-17T00:00:00.000Z,41,2001-03-17T00:00:00.000Z,2001-03-18T00:00:00.000Z
2001-03-18T00:00:00.000Z,31,2001-03-18T00:00:00.000Z,2001-03-19T00:00:00.000Z
2001-03-19T00:00:00.000Z,46,2001-03-19T00:00:00.000Z,2001-03-20T00:00:00.000Z
2001-03-20T00:00:00.000Z,29,2001-03-20T00:00:00.000Z,2001-03-21T00:00:00.000Z
2001-03-21T00:00:00.000Z,58,2001-03-21T00:00:00.000Z,2001-03-22T00:00:00.000Z
2001-03-22T00:00:00.000Z,69,2001-03-22T00:00:00.000Z,2001-03-23T00:00:00.000Z
2001-03-23T00:00:00.000Z,83,2001-03-23T00:00:00.000Z,2001-03-24T00:00:00.000Z
2001-03-24T00:00:00.000Z,140,2001-03-24T00:00:00.000Z,2001-03-25T00:00:00.000Z
2001-03-25T00:00:00.000Z,41,2001-03-25T00:00:00.000Z,2001-03-26T00:00:00.000Z
2001-03-26T00:00:00.000Z,79,2001-03-26T00:00:00.000Z,2001-03-27T00:00:00.000Z
2001-03-27T00:00:00.000Z,90,2001-03-27T00:00:00.000Z,2001-03-28T00:00:00.000Z
2001-03-28T00:00:00.000Z,67,2001-03-28T00:00:00.000Z,2001-03-29T00:00:00.000Z
2001-03-29T00:00:00.000Z,33,2001-03-29T00:00:00.000Z,2001-03-30T00:00:00.000Z
2001-03-30T00:00:00.000Z,89,2001-03-30T00:00:00.000Z,2001-03-31T00:00:00.000Z
2001-03-31T00:00:00.000Z,43,2001-03-31T00:00:00.000Z,2001-04-01T00:00:00.000Z
2001-04-01T00:00:00.000Z,23,2001-04-01T00:00:00.000Z,2001-04-02T00:00:00.000Z
2001-04-02T00:00:00.000Z,45,2001-04-02T00:00:00.000Z,2001-04-03T00:00:00.000Z
2001-04-03T00:00:00.000Z,44,2001-04-03T00:00:00.000Z,2001-04-04T00:00:00.000Z
2001-04-04T00:00:00.000Z,40,2001-04-04T00:00:00.000Z,2001-04-05T00:00:00.000Z
